Year;Quarter;Value
1986;1;42.728
1987;1;35.022456
1988;1;23.80077
1989;1;19.158412
1990;1;43.337658
1991;1;87.07006
1992;1;76.75409
1993;1;52.144134
1994;1;71.08577
1995;1;72.067338
1996;1;48.509216
1997;1;111.0299
1998;1;115.2485
1999;1;98.9959
2000;1;84.6278
2001;1;60.556
2002;1;40.4039
2003;1;65.3724
2004;1;64.1195
2005;1;52.8021
2006;1;41.3719
2007;1;48.3544
2008;1;32.3759
2009;1;36.8212
2010;1;57.4954
2011;1;66.8371
2012;1;39.5346
2013;1;20.2453
2014;1;16.3871
2015;1;30.6374
2016;1;12.6838
2017;1;9.9735
2018;1;15.6692
2019;1;14.4716
2020;1;7.9546
2021;1;15.8865
2022;1;7.8077
1986;2;102.024
1987;2;83.625048
1988;2;56.83041
1989;2;45.745596
1990;2;103.479714
1991;2;207.90198
1992;2;183.26997
1993;2;124.507422
1994;2;169.73541
1995;2;172.079154
1996;2;115.828128
1997;2;289.2633
1998;2;314.7728
1999;2;274.1498
2000;2;183.3618
2001;2;176.5112
2002;2;155.7392
2003;2;228.2419
2004;2;249.6557
2005;2;174.55
2006;2;88.9327
2007;2;89.0044
2008;2;118.7292
2009;2;141.0379
2010;2;117.2342
2011;2;188.2722
2012;2;76.4184
2013;2;64.7382
2014;2;59.6149
2015;2;27.074
2016;2;37.8936
2017;2;54.9317
2018;2;32.5581
2019;2;7.3808
2020;2;21.9663
2021;2;16.6381
2022;2;6.0979
1986;3;203.612
1987;3;166.892724
1988;3;113.417955
1989;3;91.295698
1990;3;206.517207
1991;3;414.91549
1992;3;365.756735
1993;3;248.482761
1994;3;338.745455
1995;3;343.422927
1996;3;231.161264
1997;3;344.0657
1998;3;366.4717
1999;3;313.4075
2000;3;246.696
2001;3;192.2046
2002;3;347.3926
2003;3;323.7778
2004;3;305.9209
2005;3;277.997
2006;3;218.7578
2007;3;188.3126
2008;3;229.7751
2009;3;287.8956
2010;3;297.1427
2011;3;254.6812
2012;3;157.5754
2013;3;142.4755
2014;3;165.8992
2015;3;53.9912
2016;3;117.5198
2017;3;89.6749
2018;3;66.7002
2019;3;9.9577
2020;3;124.2074
2021;3;59.6453
2022;3;6.2013
1986;4;87.636
1987;4;71.831772
1988;4;48.815865
1989;4;39.294294
1990;4;88.886421
1991;4;178.58247
1992;4;157.424205
1993;4;106.948683
1994;4;145.798365
1995;4;147.811581
1996;4;99.493392
1997;4;122.0884
1998;4;100.2212
1999;4;149.6473
2000;4;101.5808
2001;4;97.4375
2002;4;135.073
2003;4;107.0153
2004;4;127.8231
2005;4;84.5728
2006;4;85.0006
2007;4;72.8103
2008;4;131.7865
2009;4;81.5664
2010;4;103.499
2011;4;64.6319
2012;4;61.9815
2013;4;66.3004
2014;4;59.8211
2015;4;40.6759
2016;4;37.3033
2017;4;40.2447
2018;4;12.4745
2019;4;22.8189
2020;4;35.2458
2021;4;15.1
2022;4;1.1458
1986;total;436
1987;total;357
1988;total;243
1989;total;195
1990;total;442
1991;total;888
1992;total;783
1993;total;532
1994;total;725
1995;total;735
1996;total;495
1997;total;866
1998;total;897
1999;total;836
2000;total;616
2001;total;527
2002;total;679
2003;total;724
2004;total;748
2005;total;590
2006;total;434
2007;total;398
2008;total;513
2009;total;547
2010;total;575
2011;total;574
2012;total;336
2013;total;294
2014;total;302
2015;total;152
2016;total;205
2017;total;195
2018;total;127
2019;total;55
2020;total;189
2021;total;107
2022;total;21
